id,deck_card,field,title,creator,date,holding_institution,source_url,image_url,licence,licence_url,attribution_line,alt_text,verified_date,notes
c6_1,c6 — A lemon from a Dutch still life,character,Still-Life with a Peeled Lemon,Jan Davidsz. de Heem,1650s,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Jan_Davidsz._de_Heem_-_Still-Life_with_a_Peeled_Lemon_-_WGA11270.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Jan_Davidsz._de_Heem_-_Still-Life_with_a_Peeled_Lemon_-_WGA11270.jpg,Public Domain,https://en.wikipedia.org/wiki/Public_domain,"Still-Life with a Peeled Lemon, Jan Davidsz. de Heem (1650s). Web Gallery of Art (Wikimedia Commons). Public domain.","A richly painted table scene with grapes, an oyster shell and a bright yellow lemon peeled in one long curling spiral, draped over the table's edge.",2026-08-09,
c6_2,c6 — A lemon from a Dutch still life,character,"A still life with a roemer, a crab and a peeled lemon",Pieter Claesz,1643,Wikimedia Commons contributor,"https://commons.wikimedia.org/wiki/File:Pieter_CLAESZ._-_A_still_life_with_a_roemer,_a_crab_and_a_peeled_lemon_-_Google_Art_Project.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Pieter_CLAESZ._-_A_still_life_with_a_roemer%2C_a_crab_and_a_peeled_lemon_-_Google_Art_Project.jpg/960px-Pieter_CLAESZ._-_A_still_life_with_a_roemer%2C_a_crab_and_a_peeled_lemon_-_Google_Art_Project.jpg,Public Domain,https://en.wikipedia.org/wiki/Public_domain,"A still life with a roemer, a crab and a peeled lemon, Pieter Claesz (1643). Google Art Project (Wikimedia Commons). Public domain.","A dim tabletop still life with a large wine glass, a cooked crab on a plate, and a half-peeled lemon curling off a silver dish.",2026-08-09,
c7_1,c7 — A ceramic teapot,character,Teapot,George E. Ohr,ca. 1897–1900,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/20144,https://images.metmuseum.org/CRDImages/ad/web-large/L.2009.22.279a.b.jpg,Public Domain,https://www.metmuseum.org/policies/open-access,"Teapot, George E. Ohr (ca. 1897–1900). The Metropolitan Museum of Art. Public domain.","A lumpy, glossy pink earthenware teapot with a twisted handle and a long curved spout, made by American potter George Ohr — its irregular, hand-folded shape looks almost alive.",2026-08-09,
c7_2,c7 — A ceramic teapot,character,Teapot,Worcester factory,ca. 1770–75,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/198581,https://images.metmuseum.org/CRDImages/es/web-large/DP-15518-023.jpg,Public Domain,https://www.metmuseum.org/policies/open-access,"Teapot, Worcester factory (ca. 1770–75). The Metropolitan Museum of Art. Public domain.","A rounded green-and-white porcelain teapot painted with two colourful exotic birds in an oval panel, gilded trim, and a flower-bud lid handle — a classic 18th-century English tea set piece.",2026-08-09,
c7_3,c7 — A ceramic teapot,character,Teapot,Chelsea Porcelain Manufactory,ca. 1752–55,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/208369,https://images.metmuseum.org/CRDImages/es/web-large/DP-12307-034.jpg,Public Domain,https://www.metmuseum.org/policies/open-access,"Teapot, Chelsea Porcelain Manufactory (ca. 1752–55). The Metropolitan Museum of Art. Public domain.","A small white soft-paste porcelain teapot decorated with red scrollwork, gold flowers and a blue-and-teal fan motif on its rounded body.",2026-08-09,
c9_1,c9 — A stuffed bird in a case,character,"Display case with taxidermied birds and stained glass window, Natural History Museum, London, UK",Jules Verne Times Two (Wolfgang — Commons user Julesvernex2),2022-09-04 (photographed),Wikimedia Commons contributor,"https://commons.wikimedia.org/wiki/File:Display_case_with_taxidermied_birds_and_stained_glass_window,_Natural_History_Museum,_London,_UK_julesvernex2.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Display_case_with_taxidermied_birds_and_stained_glass_window%2C_Natural_History_Museum%2C_London%2C_UK_julesvernex2.jpg/960px-Display_case_with_taxidermied_birds_and_stained_glass_window%2C_Natural_History_Museum%2C_London%2C_UK_julesvernex2.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Display case with taxidermied birds and stained glass window, Natural History Museum, London — Jules Verne Times Two — Wikimedia Commons — CC BY-SA 4.0","A tall glass display case full of taxidermied birds mounted on branches, standing in a grand stone gallery with arched stained-glass windows and a chequered tile floor.",2026-08-09,
c9_2,c9 — A stuffed bird in a case,character,Berkshire Museum Bird Display,Jllm06,2010-02-21 (photographed),Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Berkshire_Museum_Bird_Display.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Berkshire_Museum_Bird_Display.jpg/960px-Berkshire_Museum_Bird_Display.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,"Berkshire Museum Bird Display, Jllm06 (2010). Wikimedia Commons contributor. CC0.","A large glass wall-case labelled 'WETLAND BIRDS' packed with dozens of taxidermied birds — herons, ducks, an eagle and small waders — each mounted and labelled.",2026-08-09,
c9_3,c9 — A stuffed bird in a case,character,"Young tawny owl taxidermy in the Bolton Museum, on 11 August 2024",MatthewHoobin,2024-08-11 (photographed),Wikimedia Commons contributor,"https://commons.wikimedia.org/wiki/File:Young_tawny_owl_taxidermy_in_the_Bolton_Museum,_on_11_August_2024.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Young_tawny_owl_taxidermy_in_the_Bolton_Museum%2C_on_11_August_2024.jpg/960px-Young_tawny_owl_taxidermy_in_the_Bolton_Museum%2C_on_11_August_2024.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,"Young tawny owl taxidermy in the Bolton Museum, MatthewHoobin (2024). Wikimedia Commons contributor. CC0.","A fluffy young tawny owl, taxidermied and perched on a mossy branch stump, displayed close-up inside a small clear plastic museum case.",2026-08-09,
c10_1,c10 — A grand piano,character,"Steinway & Sons concert grand piano, model D-274, manufactured at Steinway's factory in Hamburg, Germany",Steinway & Sons,2012-01-27 (upload date),Wikimedia Commons contributor,"https://commons.wikimedia.org/wiki/File:Steinway_%26_Sons_concert_grand_piano,_model_D-274,_manufactured_at_Steinway%27s_factory_in_Hamburg,_Germany.png",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Steinway_%26_Sons_concert_grand_piano%2C_model_D-274%2C_manufactured_at_Steinway%27s_factory_in_Hamburg%2C_Germany.png/960px-Steinway_%26_Sons_concert_grand_piano%2C_model_D-274%2C_manufactured_at_Steinway%27s_factory_in_Hamburg%2C_Germany.png,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Steinway & Sons concert grand piano, model D-274 — Photo: © Copyright Steinway & Sons — Wikimedia Commons — CC BY-SA 3.0","A gleaming black Steinway concert grand piano shown on a plain white background, lid raised, showing its full curved body and gold-lettered maker's name.",2026-08-09,"Commons page requires the exact attribution wording ""Photo: © Copyright Steinway & Sons"" alongside the CC BY-SA 3.0 notice — attribution_line reflects this."
c10_2,c10 — A grand piano,character,"Yamaha C7 Concert Grand Piano at Audio Mix House, Studio A",Audio Mix House,2013-11-17 (photographed),Wikimedia Commons contributor,"https://commons.wikimedia.org/wiki/File:Yamaha_C7_Concert_Grand_Piano_at_Audio_Mix_House,_Studio_A.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Yamaha_C7_Concert_Grand_Piano_at_Audio_Mix_House%2C_Studio_A.jpg/960px-Yamaha_C7_Concert_Grand_Piano_at_Audio_Mix_House%2C_Studio_A.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Yamaha C7 Concert Grand Piano at Audio Mix House, Studio A — Audio Mix House — Wikimedia Commons — CC BY 2.0","A black Yamaha grand piano with its lid propped open, microphones angled over the strings, set up for recording in a wood-panelled studio.",2026-08-09,
c10_3,c10 — A grand piano,character,"Yamaha grand piano, Piano Recital 2012",John C. Wilett,2012-05-19 (photographed),Wikimedia Commons contributor,"https://commons.wikimedia.org/wiki/File:Yamaha_grand_piano,_Piano_Recital_2012.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Yamaha_grand_piano%2C_Piano_Recital_2012.jpg/960px-Yamaha_grand_piano%2C_Piano_Recital_2012.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Yamaha grand piano, Piano Recital 2012 — John C. Wilett — Wikimedia Commons — CC BY-SA 2.0","A black Yamaha grand piano with its lid raised, standing in a bright, plant-filled recital room with tall windows looking onto trees.",2026-08-09,
c11_1,c11 — A stained-glass angel,character,Stained glass window with angels in the Saint Antony church in St. Ulrich in Gröden,Wolfgang Moroder,2010-08-13 (photographed),Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Stained_glass_window_with_angels_in_the_Saint_Antony_church_in_St._Ulrich_in_Gr%C3%B6den.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Stained_glass_window_with_angels_in_the_Saint_Antony_church_in_St._Ulrich_in_Gr%C3%B6den.jpg/960px-Stained_glass_window_with_angels_in_the_Saint_Antony_church_in_St._Ulrich_in_Gr%C3%B6den.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Stained glass window with angels in the Saint Antony church in St. Ulrich in Gröden — Wolfgang Moroder — Wikimedia Commons — CC BY-SA 3.0,"A tall stained-glass church window showing two winged angels in blue and pink robes holding a large wooden cross, framed by cherubs and coloured glass patterns.",2026-08-09,
c11_2,c11 — A stained-glass angel,character,Two Angels Stained glass window in the Saint Antony church in St. Ulrich in Gröden,Wolfgang Moroder,2012-12-30 (photographed),Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Two_Angels_Stained_glass_window_in_the_Saint_Antony_church_in_St._Ulrich_in_Gr%C3%B6den.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Two_Angels_Stained_glass_window_in_the_Saint_Antony_church_in_St._Ulrich_in_Gr%C3%B6den.jpg/960px-Two_Angels_Stained_glass_window_in_the_Saint_Antony_church_in_St._Ulrich_in_Gr%C3%B6den.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Two Angels Stained glass window in the Saint Antony church in St. Ulrich in Gröden — Wolfgang Moroder — Wikimedia Commons — CC BY-SA 3.0,"A stained-glass window showing two golden-haired angels in green and orange robes standing together holding a scroll, framed by small cherubs above and stone-coloured griffins below.",2026-08-09,
c12_1,c12 — A dinosaur skeleton,character,Stegosaurus skeleton at American Museum of Natural History,Vicpeters,2025-07-16 (photographed),Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Stegosaurus_skeleton_at_American_Museum_of_Natural_History.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Stegosaurus_skeleton_at_American_Museum_of_Natural_History.jpg/960px-Stegosaurus_skeleton_at_American_Museum_of_Natural_History.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Stegosaurus skeleton at American Museum of Natural History — Vicpeters — Wikimedia Commons — CC BY 4.0,"A full Stegosaurus skeleton with its distinctive back plates and spiked tail, mounted beside a smaller juvenile skeleton in a museum dinosaur hall.",2026-08-09,
c12_2,c12 — A dinosaur skeleton,character,"Tyrannosaurus Rex skeleton is on display in the Dinosaurs hall at the Smithsonian's National Museum of Natural History in Washington, D.C.",USDAgov (Smithsonian photo by John Gibbons),2013-04-03 (photographed),Smithsonian National Museum of Natural History,"https://commons.wikimedia.org/wiki/File:Tyrannosaurus_Rex_skeleton_is_on_display_in_the_Dinosaurs_hall_at_the_Smithsonian%27s_National_Museum_of_Natural_History_in_Washington,_D.C..jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tyrannosaurus_Rex_skeleton_is_on_display_in_the_Dinosaurs_hall_at_the_Smithsonian%27s_National_Museum_of_Natural_History_in_Washington%2C_D.C..jpg/960px-Tyrannosaurus_Rex_skeleton_is_on_display_in_the_Dinosaurs_hall_at_the_Smithsonian%27s_National_Museum_of_Natural_History_in_Washington%2C_D.C..jpg,Public Domain,"https://commons.wikimedia.org/wiki/File:Tyrannosaurus_Rex_skeleton_is_on_display_in_the_Dinosaurs_hall_at_the_Smithsonian%27s_National_Museum_of_Natural_History_in_Washington,_D.C..jpg","Tyrannosaurus Rex skeleton on display in the Dinosaurs hall, Smithsonian National Museum of Natural History (2013). Public domain.","A huge Tyrannosaurus Rex skull and skeleton, jaws open with rows of sharp teeth, suspended from the ceiling of a grand museum hall with a small pterosaur skeleton flying below it.",2026-08-09,
c12_3,c12 — A dinosaur skeleton,character,Duck-Billed Dinosaur skeletons at American Museum of Natural History,Vicpeters,2025-07-16 (photographed),Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Duck-Billed_Dinosaur_skeletons_at_American_Museum_of_Natural_History.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Duck-Billed_Dinosaur_skeletons_at_American_Museum_of_Natural_History.jpg/960px-Duck-Billed_Dinosaur_skeletons_at_American_Museum_of_Natural_History.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Duck-Billed Dinosaur skeletons at American Museum of Natural History — Vicpeters — Wikimedia Commons — CC BY 4.0,"Two duck-billed dinosaur (hadrosaur) skeletons mounted upright in a museum gallery, one large and one smaller, beneath hanging pendant lights.",2026-08-09,
s1_1,s1 — The museum has just closed,situation,Burrell Collection Interior 1 2022,JoeDerrySetch,2022-09-15,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Burrell_Collection_Interior_1_2022.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Burrell_Collection_Interior_1_2022.jpg/960px-Burrell_Collection_Interior_1_2022.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Burrell Collection Interior 1 2022 — JoeDerrySetch — Wikimedia Commons — CC BY-SA 4.0,"A long, empty museum corridor seen through a stone archway, with light streaming across the polished floor and no visitors in sight.",2026-08-09,
s1_2,s1 — The museum has just closed,situation,Burrell Collection Interior 2 2022,JoeDerrySetch,2022-09-15,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Burrell_Collection_Interior_2_2022.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Burrell_Collection_Interior_2_2022.jpg/960px-Burrell_Collection_Interior_2_2022.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Burrell Collection Interior 2 2022 — JoeDerrySetch — Wikimedia Commons — CC BY-SA 4.0,"The same stone-arched museum corridor viewed from the opposite end, completely empty with a wayfinding sign for the shop and lifts on the wall.",2026-08-09,
s2_1,s2 — A school excursion arrives,situation,School group visit,SMCurator,2014-11-19,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:School_group_visit.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/School_group_visit.jpg/960px-School_group_visit.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,School group visit — SMCurator — Wikimedia Commons — CC BY-SA 4.0,"A small group of young school children in a semicircle listening to a museum educator in a pink cardigan, who is holding up an animal skull in front of a taxidermy display.",2026-08-09,
s2_2,s2 — A school excursion arrives,situation,Students visit Basra Museum - Iraq - 2017,PersianDutchNetwork,2017-04-19,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Students_visit_Basra_Museum_-_Iraq_-_2017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Students_visit_Basra_Museum_-_Iraq_-_2017.jpg/960px-Students_visit_Basra_Museum_-_Iraq_-_2017.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Students visit Basra Museum - Iraq - 2017 — PersianDutchNetwork — Wikimedia Commons — CC BY-SA 4.0,A school group of children with an adult walking through a museum gallery lined with glass display cases of ancient pottery and artefacts.,2026-08-09,
s3_1,s3 — The gallery is being repainted,situation,Paint roller 4,Michael Cory,2010-04-02,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Paint_roller_4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Paint_roller_4.jpg/960px-Paint_roller_4.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Paint roller 4 — Michael Cory — Wikimedia Commons — CC BY 2.0,"A paint roller on a long handle resting against a brick wall that is half freshly painted orange and half still bare brick, next to a metal paint tin.",2026-08-09,
s3_2,s3 — The gallery is being repainted,situation,"President Bill Clinton paints a wall with a roller paint brush during the renovation of Cardozo High School in Washington, DC",Sharon Farmer / White House Photograph Office,1998-01-19,Wikimedia Commons contributor (Clinton Presidential Library),"https://commons.wikimedia.org/wiki/File:President_Bill_Clinton_paints_a_wall_with_a_roller_paint_brush_during_the_renovation_of_Cardozo_High_School_in_Washington,_DC.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/President_Bill_Clinton_paints_a_wall_with_a_roller_paint_brush_during_the_renovation_of_Cardozo_High_School_in_Washington%2C_DC.jpg/960px-President_Bill_Clinton_paints_a_wall_with_a_roller_paint_brush_during_the_renovation_of_Cardozo_High_School_in_Washington%2C_DC.jpg,Public domain,"https://commons.wikimedia.org/wiki/File:President_Bill_Clinton_paints_a_wall_with_a_roller_paint_brush_during_the_renovation_of_Cardozo_High_School_in_Washington,_DC.jpg","President Bill Clinton paints a wall with a roller paint brush during the renovation of Cardozo High School in Washington, DC, Sharon Farmer / White House Photograph Office (1998). Wikimedia Commons. Public domain.","A wide interior shot of a school hall being repainted, with a man using a roller on an extension pole to paint a high wall while other people work in the background.",2026-08-09,
s4_1,s4 — The fire alarm is being tested,situation,Fire Alarm Bell red,Zulfaamaliya,2023-03-27,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Fire_Alarm_Bell_red.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Fire_Alarm_Bell_red.jpg/960px-Fire_Alarm_Bell_red.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Fire Alarm Bell red — Zulfaamaliya — Wikimedia Commons — CC BY-SA 4.0,"A close-up product photo of a round red fire alarm bell (GuardALL brand) on a plain white background, with its wiring visible at the edge.",2026-08-09,
s4_2,s4 — The fire alarm is being tested,situation,Fire alarm bell guardall,Mochihsan,2023-03-27,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Fire_alarm_bell_guardall.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Fire_alarm_bell_guardall.jpg/960px-Fire_alarm_bell_guardall.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Fire alarm bell guardall — Mochihsan — Wikimedia Commons — CC BY-SA 4.0,"A close-up product photo of the same style of round red fire alarm bell, angled slightly to show its curved dome shape, on a plain white background.",2026-08-09,
s4_3,s4 — The fire alarm is being tested,situation,Kobishi Electric MSB-63A fire alarm bell,BrokenSphere,2008-05-26,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Kobishi_Electric_MSB-63A_fire_alarm_bell.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kobishi_Electric_MSB-63A_fire_alarm_bell.JPG/960px-Kobishi_Electric_MSB-63A_fire_alarm_bell.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Kobishi Electric MSB-63A fire alarm bell — BrokenSphere — Wikimedia Commons — CC BY-SA 3.0,"A round red fire alarm bell mounted on a wooden wall panel in a stairwell in Kowloon, Hong Kong, photographed straight-on so the alarm bell brand label is readable.",2026-08-09,
s5_1,s5 — Being packed into a crate,situation,Wooden packing crates for the transport of fruit and vegetables,Evelyn Simak,2007-09-16,Wikimedia Commons contributor (geograph.org.uk),https://commons.wikimedia.org/wiki/File:Wooden_packing_crates_for_the_transport_of_fruit_and_vegetables_-_geograph.org.uk_-_557258.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Wooden_packing_crates_for_the_transport_of_fruit_and_vegetables_-_geograph.org.uk_-_557258.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Wooden packing crates for the transport of fruit and vegetables — Evelyn Simak — Wikimedia Commons (geograph.org.uk) — CC BY-SA 2.0,"A tall stack of large wooden slatted packing crates stamped with the name 'Turnbull', photographed outdoors against trees and sky.",2026-08-09,
s5_2,s5 — Being packed into a crate,situation,"Malecki Sausage packing crate found in basement of Graycliff, Derby, New York - 20191005",Andre Carrotflower,2019-10-05,Wikimedia Commons contributor,"https://commons.wikimedia.org/wiki/File:Malecki_Sausage_packing_crate_found_in_basement_of_Graycliff,_Derby,_New_York_-_20191005.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Malecki_Sausage_packing_crate_found_in_basement_of_Graycliff%2C_Derby%2C_New_York_-_20191005.jpg/960px-Malecki_Sausage_packing_crate_found_in_basement_of_Graycliff%2C_Derby%2C_New_York_-_20191005.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Malecki Sausage packing crate found in basement of Graycliff, Derby, New York - 20191005 — Andre Carrotflower — Wikimedia Commons — CC BY-SA 4.0","An old wooden shipping crate with 'MALECKI Superior Sausage' painted on its side, sitting empty on a concrete basement step.",2026-08-09,
s6_1,"s6 — The cleaner has arrived, with a very large duster",situation,Ostrich Feather Duster cropped,freebie.photography,2013-11-21,Wikimedia Commons contributor,https://commons.wikimedia.org/wiki/File:Ostrich_Feather_Duster_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Ostrich_Feather_Duster_cropped.jpg/960px-Ostrich_Feather_Duster_cropped.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Ostrich Feather Duster cropped — freebie.photography — Wikimedia Commons — CC BY 3.0,"A large, fluffy grey-and-white ostrich-feather duster on a long wooden handle, shown close up against a plain white background.",2026-08-09,
